date,actual_revenue,forecast_revenue,split,model_name
2025-12-02,3444137.52,3288420.61,backtest,ridge_calendar_revenue
2025-12-03,3635447.69,3446069.93,backtest,ridge_calendar_revenue
2025-12-04,4002335.99,3546008.88,backtest,ridge_calendar_revenue
2025-12-05,3688750.86,3338155.75,backtest,ridge_calendar_revenue
2025-12-06,3212014.67,3078068.68,backtest,ridge_calendar_revenue
2025-12-07,2887267.19,2876532.14,backtest,ridge_calendar_revenue
2025-12-08,3356337.89,3068399.29,backtest,ridge_calendar_revenue
2025-12-09,3607355.04,3301497.88,backtest,ridge_calendar_revenue
2025-12-10,3741762.03,3459147.2,backtest,ridge_calendar_revenue
2025-12-11,3948254.58,3559086.15,backtest,ridge_calendar_revenue
2025-12-12,3823731.38,3351233.02,backtest,ridge_calendar_revenue
2025-12-13,3180472.54,3091145.95,backtest,ridge_calendar_revenue
2025-12-14,2508007.31,2889609.41,backtest,ridge_calendar_revenue
2025-12-15,3216313.39,3081476.56,backtest,ridge_calendar_revenue
2025-12-16,3290165.47,3314575.15,backtest,ridge_calendar_revenue
2025-12-17,3366684.53,3472224.47,backtest,ridge_calendar_revenue
2025-12-18,3512910.53,3572163.42,backtest,ridge_calendar_revenue
2025-12-19,3232277.6,3364310.29,backtest,ridge_calendar_revenue
2025-12-20,2894351.15,3104223.22,backtest,ridge_calendar_revenue
2025-12-21,2324262.11,2902686.68,backtest,ridge_calendar_revenue
2025-12-22,2475093.44,3094553.83,backtest,ridge_calendar_revenue
2025-12-23,2336086.13,3327652.42,backtest,ridge_calendar_revenue
2025-12-24,1758286.89,3485301.74,backtest,ridge_calendar_revenue
2025-12-25,1237423.51,3585240.69,backtest,ridge_calendar_revenue
2025-12-26,1748114.26,3377387.56,backtest,ridge_calendar_revenue
2025-12-27,1831493.92,3117300.49,backtest,ridge_calendar_revenue
2025-12-28,2151270.05,2915763.95,backtest,ridge_calendar_revenue
2025-12-29,2334933.57,2427613.1,backtest,ridge_calendar_revenue
2025-12-30,2454487.62,2660711.7,backtest,ridge_calendar_revenue
2025-12-31,2024511.9,2818361.02,backtest,ridge_calendar_revenue
2026-01-01,,2821479.34,future,ridge_calendar_revenue
2026-01-02,,2625151.28,future,ridge_calendar_revenue
2026-01-03,,2358300.39,future,ridge_calendar_revenue
2026-01-04,,2148312.49,future,ridge_calendar_revenue
2026-01-05,,2369418.77,future,ridge_calendar_revenue
2026-01-06,,2595752.57,future,ridge_calendar_revenue
2026-01-07,,2726943.83,future,ridge_calendar_revenue
2026-01-08,,2833604.82,future,ridge_calendar_revenue
2026-01-09,,2637276.76,future,ridge_calendar_revenue
2026-01-10,,2370425.87,future,ridge_calendar_revenue
2026-01-11,,2160437.97,future,ridge_calendar_revenue
2026-01-12,,2381544.26,future,ridge_calendar_revenue
2026-01-13,,2607878.06,future,ridge_calendar_revenue
2026-01-14,,2739069.31,future,ridge_calendar_revenue
2026-01-15,,2845730.31,future,ridge_calendar_revenue
2026-01-16,,2649402.24,future,ridge_calendar_revenue
2026-01-17,,2382551.35,future,ridge_calendar_revenue
2026-01-18,,2172563.46,future,ridge_calendar_revenue
2026-01-19,,2393669.74,future,ridge_calendar_revenue
2026-01-20,,2620003.54,future,ridge_calendar_revenue
2026-01-21,,2751194.79,future,ridge_calendar_revenue
2026-01-22,,2857855.79,future,ridge_calendar_revenue
2026-01-23,,2661527.73,future,ridge_calendar_revenue
2026-01-24,,2394676.84,future,ridge_calendar_revenue
2026-01-25,,2184688.94,future,ridge_calendar_revenue
2026-01-26,,2405795.22,future,ridge_calendar_revenue
2026-01-27,,2632129.02,future,ridge_calendar_revenue
2026-01-28,,2763320.28,future,ridge_calendar_revenue
2026-01-29,,2869981.27,future,ridge_calendar_revenue
2026-01-30,,2673653.21,future,ridge_calendar_revenue
